"","year","sex","lower_ci","upper_ci","mean_ex","Country_of_Birth"
"190",1971,"Male",57.4177336655614,57.877365619076,57.6702761124278,"Scotland and Northern Ireland"
"191",1972,"Female",60.3799168873104,60.6373210418406,60.5201543035809,"Scotland and Northern Ireland"
"192",1972,"Male",58.122916742794,58.5701214451375,58.3343483969964,"Scotland and Northern Ireland"
"193",1973,"Female",60.893576902216,61.2310639959027,61.0670384653012,"Scotland and Northern Ireland"
"194",1973,"Male",58.3413534256792,58.9349551956556,58.6065292023531,"Scotland and Northern Ireland"
"195",1974,"Female",61.3768067487742,61.8212046637653,61.6158882518839,"Scotland and Northern Ireland"
"196",1974,"Male",58.6330798246944,59.1077694060509,58.843031015286,"Scotland and Northern Ireland"
"197",1975,"Female",61.8314843952036,62.286384905394,62.071512617148,"Scotland and Northern Ireland"
"198",1975,"Male",59.1880510272933,59.7680906451142,59.4364398268656,"Scotland and Northern Ireland"
"199",1976,"Female",62.611308057822,63.0316911224835,62.8546753062809,"Scotland and Northern Ireland"
"200",1976,"Male",59.1692522510257,59.8005920586737,59.5086380725578,"Scotland and Northern Ireland"
"201",1977,"Female",62.7571630887606,63.3097840107105,63.0490273043701,"Scotland and Northern Ireland"
"202",1977,"Male",59.5078694377606,60.043669416616,59.7110672125442,"Scotland and Northern Ireland"
"203",1978,"Female",63.137593082705,63.6877092185218,63.4099750178043,"Scotland and Northern Ireland"
"204",1978,"Male",59.5498475523562,59.9966599126419,59.7898143670318,"Scotland and Northern Ireland"
"205",1979,"Female",63.6531853604659,64.1121933738284,63.8921998144053,"Scotland and Northern Ireland"
"206",1979,"Male",59.654117198111,60.3288879946466,60.0253804484033,"Scotland and Northern Ireland"
"207",1980,"Female",63.709922697531,64.2582946869381,63.9529856337536,"Scotland and Northern Ireland"
"208",1980,"Male",60.4913643119051,61.1995755502546,60.8380586798042,"Scotland and Northern Ireland"
"209",1981,"Female",64.1426114189173,64.7298519346147,64.457089310555,"Scotland and Northern Ireland"
"210",1981,"Male",60.0538175154364,60.7098066864153,60.3549049686277,"Scotland and Northern Ireland"
"211",1982,"Female",64.0482791662758,64.6946246263282,64.4204977058225,"Scotland and Northern Ireland"
"212",1982,"Male",60.5964334128316,61.2308939836665,60.8835381419764,"Scotland and Northern Ireland"
"213",1983,"Female",64.6083428384354,65.1953628383085,64.9025774090708,"Scotland and Northern Ireland"
"214",1983,"Male",60.6059653945283,61.3198264282766,60.9151125568681,"Scotland and Northern Ireland"
"215",1984,"Female",64.6978481541621,65.3760857588515,65.0171824202908,"Scotland and Northern Ireland"
"216",1984,"Male",60.4745042593795,61.1916028348979,60.8138913723894,"Scotland and Northern Ireland"
